"Techstack","Links"
"React, Node.js, MongoDB","https://OurWorks.com/react-portfolio"
"Angular,.NET, SQL Server","https://OurWorks.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://OurWorks.com/vue-portfolio"
"Python, Django, MySQL","https://OurWorks.com/python-portfolio"
"Java, Spring Boot, Oracle","https://OurWorks.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://OurWorks.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://OurWorks.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://OurWorks.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://OurWorks.com/react-native-portfolio"
"iOS, Swift, Core Data","https://OurWorks.com/ios-portfolio"
"Android, Java, Room Persistence","https://OurWorks.com/android-portfolio"
"Kotlin, Android, Firebase","https://OurWorks.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://OurWorks.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://OurWorks.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://OurWorks.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://OurWorks.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://OurWorks.comtypescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://OurWorks.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://OurWorks.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://OurWorks.com/devops-portfolio"
